L_ID,year,month,Source_main,Source_Sub
ABC0013778,2022,3,405217.59,425470.875
ABC0013778,2022,4,399683.22,420958.875
ABC0013778,2022,5,580845.33,612623.475
ABC0013778,2022,6,271962,285546.675
ABC0013778,2022,7,NULL,334823.625
ABC0013780,2021,10,NULL,35940
ABC0013780,2021,11,95922.855,96616.5
ABC0013780,2021,12,NULL,95322.765
ABC0013780,2022,1,71184.15,72170.205
ABC0013780,2022,2,64478.22,68575.425
ABC0013780,2022,3,102502.875,112995.075
ABC0013780,2022,4,65241.33,69507.6
ABC0013780,2022,5,NULL,105279.33
ABC0013780,2022,6,NULL,63822.45
ABC0013780,2022,7,NULL,39666.09
ABC0013784,2021,2,NULL,NULL
ABC0013784,2021,3,NULL,NULL
ABC0013784,2021,4,NULL,NULL
ABC0013784,2021,5,NULL,NULL
ABC0013784,2021,6,NULL,NULL
ABC0013784,2021,7,NULL,NULL
ABC0013784,2021,8,NULL,NULL
ABC0013784,2021,9,NULL,NULL
ABC0013784,2021,10,NULL,NULL
ABC0013784,2021,11,NULL,NULL
ABC0013784,2021,12,NULL,NULL
ABC0013784,2022,1,NULL,NULL
ABC0013784,2022,2,NULL,NULL
ABC0013784,2022,3,NULL,NULL
ABC0013784,2022,4,NULL,NULL
ABC0013784,2022,5,NULL,NULL
ABC0013784,2022,6,NULL,NULL
ABC0013784,2022,7,NULL,NULL
ABC0013803,2021,4,37235.64,0
ABC0013803,2021,5,193538.79,165384.405
ABC0013803,2021,6,129957.33,136455.195
ABC0013803,2021,7,121521.03,135459.48
ABC0013803,2021,8,103446.75,108619.095
ABC0013803,2021,9,93928.5,98947.8
ABC0013803,2021,10,102303,107418.15
ABC0013803,2021,11,60463.515,63486.69
ABC0013803,2021,12,82372.515,86499.015
ABC0013803,2022,1,70230.015,73741.515
ABC0013803,2022,2,92605.905,97551.195
ABC0013803,2022,3,102136.185,107329.62
ABC0013803,2022,4,NULL,115293.75
ABC0013803,2022,5,NULL,124206.315
ABC0013803,2022,6,NULL,163757.16
ABC0013803,2022,7,NULL,49597.245
ABC0013829,2021,1,NULL,NULL
ABC0013829,2021,2,NULL,NULL
ABC0013829,2021,3,NULL,NULL
ABC0013829,2021,4,NULL,NULL
ABC0013829,2021,5,NULL,NULL
ABC0013829,2021,6,NULL,NULL
ABC0013829,2021,7,NULL,NULL
ABC0013829,2021,8,NULL,NULL
ABC0013829,2021,9,NULL,NULL
ABC0013829,2021,10,NULL,NULL
ABC0013829,2021,11,NULL,NULL
ABC0013829,2021,12,NULL,NULL
ABC0013829,2022,1,NULL,NULL
ABC0013829,2022,2,NULL,NULL
ABC0013829,2022,3,NULL,NULL
ABC0013829,2022,4,NULL,NULL
ABC0013829,2022,5,NULL,NULL
